CUSTOMER_SIGN_UP_DATE,CUSTOMER_COMPANY_DISTRICT,CUSTOMER_AGE,CUSTOMER_COMPANY_SIZE,CUSTOMER_INDUSTRY,CUSTOMER_REVENUE_USD_AMT,CUSTOMER_TOTAL_LOAN_DEFAULTED_COUNT,TERM_LOAN_COUNT,CREDIT_LINE_COUNT,AVERAGE_LOAN_DISBURSAL_USD_AMOUNT,FIRST_LOAN_DISBURSAL_DATE_LCL_TS,CUSTOMER_ACQUISITION_SOURCE,DAYS_FROM_SIGNUP_TO_FIRST_LOAN,YEAR_JOINED,CUSTOMER_AGE_GROUP
2022-06-20 00:00:00.000000,PUCHONG,37,Micro,Motor Vehicles Repair,1371.65,1,1,0,1564.94,2022-06-27 00:00:00.000000,Organic,7.0,2022,35-44 yo
2021-01-31 00:00:00.000000,SUBANG JAYA,46,Small,Motor Vehicles Repair,12580.649999999996,1,1,11,5086.055833333333,2021-02-05 00:00:00.000000,Digital Marketing,5.0,2021,45-54 yo
2023-07-21 00:00:00.000000,DURIAN TUNGGAL,28,Small,Motor Vehicles Repair,1770.08,0,1,0,6392.79,2023-10-10 00:00:00.000000,Others,81.0,2023,25-34 yo
2020-12-23 00:00:00.000000,SEMENYIH,34,Small,F&B,9624.73,1,1,0,10954.59,2021-12-30 00:00:00.000000,Digital Marketing,372.0,2020,25-34 yo
2019-12-03 00:00:00.000000,LAHAT,45,Small,Motor Vehicles Repair,22249.53,1,1,0,15649.41,2021-07-01 00:00:00.000000,Employee Referrals,576.0,2019,45-54 yo
2022-02-03 00:00:00.000000,SUNGAI PETANI,36,Micro,Motor Vehicles Repair,1136.75,0,1,0,3098.58,2023-09-21 00:00:00.000000,Digital Marketing,595.0,2022,35-44 yo
2020-06-22 00:00:00.000000,PETALING JAYA,33,Small,Motor Vehicles Repair,3869.6,0,1,0,5633.79,2020-06-26 00:00:00.000000,Digital Marketing,4.0,2020,25-34 yo
2022-08-16 00:00:00.000000,Cyberjaya,47,Small,F&B,10242.1,1,1,0,15649.41,2022-09-01 00:00:00.000000,Brokers,16.0,2022,45-54 yo
2023-02-21 00:00:00.000000,Petaling Jaya,41,Medium,Motor Vehicles Repair,21035.61,0,1,0,34428.71,2023-03-07 00:00:00.000000,Brokers,14.0,2023,35-44 yo
2023-01-10 00:00:00.000000,TEMERLOH,43,Micro,Other Service Activities,5210.98,0,1,0,5508.59,2023-03-02 00:00:00.000000,Digital Marketing,51.0,2023,35-44 yo
2021-07-05 00:00:00.000000,IPOH,40,Small,Motor Vehicles Repair,20628.91,1,2,0,15649.41,2022-08-08 00:00:00.000000,Employee Referrals,399.0,2021,35-44 yo
2022-05-18 00:00:00.000000,KUALA LUMPUR,29,Small,Information and Communication,1689.64,1,1,0,1877.93,2022-05-26 00:00:00.000000,Organic,8.0,2022,25-34 yo
2023-09-02 00:00:00.000000,BUKIT MERTAJAM,37,Small,"Agriculture, Forestry and Fishing",4285.57,0,1,0,12050.05,2023-09-13 00:00:00.000000,Brokers,11.0,2023,35-44 yo
2022-11-12 00:00:00.000000,JOHOR BAHRU,43,Small,Administrative and Support Service Activities,12241.02,0,1,0,15649.41,2022-11-29 00:00:00.000000,Organic,17.0,2022,35-44 yo
2022-08-18 00:00:00.000000,KOTA KINABALU,46,Small,F&B,4540.62,0,1,0,4194.04,2022-09-06 00:00:00.000000,Platform Partners,19.0,2022,45-54 yo
2022-05-17 00:00:00.000000,JOHOR BAHRU,31,Small,Motor Vehicles Repair,15559.39,0,1,0,15649.41,2022-05-31 00:00:00.000000,Digital Marketing,14.0,2022,25-34 yo
2022-03-31 00:00:00.000000,KOTA KINABALU,35,Small,F&B,2134.57,0,2,0,1564.94,2022-04-28 00:00:00.000000,Digital Marketing,28.0,2022,35-44 yo
2019-12-30 00:00:00.000000,SHAH ALAM,28,Micro,Professional Activities,2080.41,1,2,0,1564.94,2020-08-12 00:00:00.000000,Digital Marketing,226.0,2019,25-34 yo
2023-04-11 00:00:00.000000,BANDAR PUNCAK ALAM,31,Small,Motor Vehicles Repair,7138.63,1,1,0,16181.49,2023-04-27 00:00:00.000000,Organic,16.0,2023,25-34 yo
2020-11-15 00:00:00.000000,KUALA LUMPUR,30,Medium,Motor Vehicles Repair,47655.84,0,1,0,61439.6,2022-10-18 00:00:00.000000,Digital Marketing,702.0,2020,25-34 yo
2021-01-31 00:00:00.000000,SHAH ALAM,38,Small,F&B,8382.04,1,3,0,4037.5499999999997,2021-03-17 00:00:00.000000,Digital Marketing,45.0,2021,35-44 yo
2022-11-28 00:00:00.000000,KUALA LUMPUR,32,Micro,F&B,1843.43,1,1,0,3129.88,2022-12-13 00:00:00.000000,Platform Partners,15.0,2022,25-34 yo
2023-02-19 00:00:00.000000,BANDAR BARU BANGI,32,Micro,Professional Activities,8311.8,1,1,0,17214.36,2023-04-18 00:00:00.000000,Digital Marketing,58.0,2023,25-34 yo
2022-11-16 00:00:00.000000,KUANTAN,32,Small,Storage,22790.14,0,1,0,31298.83,2022-12-29 00:00:00.000000,Brokers,43.0,2022,25-34 yo
2022-07-05 00:00:00.000000,PETALING JAYA,36,Micro,Administrative and Support Service Activities,7839.43,0,1,0,9389.65,2022-07-14 00:00:00.000000,EDMs,9.0,2022,35-44 yo
2018-10-07 00:00:00.000000,MUAR,55,Medium,Motor Vehicles Repair,33835.9,0,1,0,34428.71,2023-05-15 00:00:00.000000,Organic,1681.0,2018,55-64 yo
2023-01-30 00:00:00.000000,IPOH,40,Small,Other Service Activities,9944.66,1,1,0,20657.23,2023-03-15 00:00:00.000000,Organic,44.0,2023,35-44 yo
2022-07-28 00:00:00.000000,SERI KEMBANGAN,48,Small,F&B,8631.49,0,1,0,10579.0,2022-08-11 00:00:00.000000,Brokers,14.0,2022,45-54 yo
2023-03-14 00:00:00.000000,LANGKAWI,30,Micro,Administrative and Support Service Activities,2682.31,0,2,0,3442.87,2023-03-24 00:00:00.000000,Organic,10.0,2023,25-34 yo
2022-08-30 00:00:00.000000,PETALING JAYA,30,Micro,Motor Vehicles Repair,1051.13,0,1,0,938.96,2022-09-08 00:00:00.000000,Organic,9.0,2022,25-34 yo
2022-10-13 00:00:00.000000,PANDAN,29,Small,Motor Vehicles Repair,788.81,1,1,0,2503.91,2022-10-31 00:00:00.000000,Digital Marketing,18.0,2022,25-34 yo
2022-08-29 00:00:00.000000,BUTTERWORTH,34,Micro,Motor Vehicles Repair,5235.55,0,1,0,5946.78,2022-10-20 00:00:00.000000,Digital Marketing,52.0,2022,25-34 yo
2021-12-07 00:00:00.000000,SUBANG JAYA,36,Small,Professional Activities,24010.07,0,1,0,21909.18,2022-01-11 00:00:00.000000,Employee Referrals,35.0,2021,35-44 yo
2019-06-13 00:00:00.000000,KAJANG,44,Medium,Motor Vehicles Repair,19656.42,0,1,0,25477.25,2023-12-22 00:00:00.000000,Organic,1653.0,2019,35-44 yo
2022-07-18 00:00:00.000000,BESTARI JAYA,25,Micro,Motor Vehicles Repair,1132.35,0,1,0,1564.94,2023-01-09 00:00:00.000000,Digital Marketing,175.0,2022,25-34 yo
2021-02-16 00:00:00.000000,LABUAN,43,Small,Motor Vehicles Repair,21621.9,0,2,0,11580.565,2021-02-25 00:00:00.000000,Employee Referrals,9.0,2021,35-44 yo
2022-05-12 00:00:00.000000,BUTTERWORTH,51,Small,Construction,9203.92,1,2,0,8153.345,2022-06-08 00:00:00.000000,Employee Referrals,27.0,2022,45-54 yo
2022-06-02 00:00:00.000000,CYBERJAYA,36,Small,Motor Vehicles Repair,19008.2,0,2,0,15649.41,2022-06-17 00:00:00.000000,Digital Marketing,15.0,2022,35-44 yo
2020-08-07 00:00:00.000000,KUANTAN,22,Small,Motor Vehicles Repair,5528.09,1,1,0,3755.86,2020-08-13 00:00:00.000000,Digital Marketing,6.0,2020,18-24 yo
2019-11-05 00:00:00.000000,PUCHONG,40,Small,Motor Vehicles Repair,3343.04,1,1,0,4694.82,2019-11-12 00:00:00.000000,Digital Marketing,7.0,2019,35-44 yo
2022-03-17 00:00:00.000000,KOTA TINGGI,35,Micro,Motor Vehicles Repair,3698.35,0,2,0,3129.88,2022-03-28 00:00:00.000000,Digital Marketing,11.0,2022,35-44 yo
2023-05-02 00:00:00.000000,PUSING,26,Small,Motor Vehicles Repair,4746.32,0,1,0,7918.6,2023-05-17 00:00:00.000000,Brokers,15.0,2023,25-34 yo
2022-12-16 00:00:00.000000,BAHAU,42,Medium,Motor Vehicles Repair,1825.13,1,1,0,3442.87,2023-01-11 00:00:00.000000,Brokers,26.0,2022,35-44 yo
2022-08-19 00:00:00.000000,MASJID TANAH,28,Micro,F&B,5035.01,0,1,0,2973.39,2022-11-15 00:00:00.000000,Organic,88.0,2022,25-34 yo
2022-10-17 00:00:00.000000,PETALING JAYA,32,Medium,Motor Vehicles Repair,7068.34,1,1,0,12206.54,2022-10-28 00:00:00.000000,Brokers,11.0,2022,25-34 yo
2022-06-13 00:00:00.000000,BATU PAHAT,35,Small,Construction,5249.71,1,2,0,4694.82,2022-06-21 00:00:00.000000,Offline Marketing,8.0,2022,35-44 yo
2019-01-09 00:00:00.000000,SUBANG JAYA,34,Small,Manufacturing,6033.36,1,1,0,7824.71,2022-08-22 00:00:00.000000,Digital Marketing,1321.0,2019,25-34 yo
2022-08-16 00:00:00.000000,SHAH ALAM,38,Small,Motor Vehicles Repair,4207.57,0,2,0,3442.87,2022-09-01 00:00:00.000000,Digital Marketing,16.0,2022,35-44 yo
2022-06-12 00:00:00.000000,KLUANG,47,Small,Motor Vehicles Repair,5507.13,0,1,0,12738.62,2023-09-14 00:00:00.000000,Organic,459.0,2022,45-54 yo
2023-02-23 00:00:00.000000,KLANG,49,Small,F&B,7341.28,1,1,0,13427.2,2023-03-03 00:00:00.000000,Organic,8.0,2023,45-54 yo
2021-08-30 00:00:00.000000,SEPANG,34,Small,F&B,3847.81,0,2,0,3129.88,2021-10-08 00:00:00.000000,Platform Partners,39.0,2021,25-34 yo
2022-12-16 00:00:00.000000,KUALA LUMPUR,38,Micro,F&B,9278.92,1,1,0,18059.42,2022-12-28 00:00:00.000000,Brokers,12.0,2022,35-44 yo
2021-11-02 00:00:00.000000,KUBANG SEMANG,37,Small,Motor Vehicles Repair,1209.67,0,1,0,1251.95,2021-11-24 00:00:00.000000,Platform Partners,22.0,2021,35-44 yo
2022-01-13 00:00:00.000000,SEREMBAN,35,Small,Storage,6361.73,0,2,0,3912.355,2022-01-26 00:00:00.000000,Others,13.0,2022,35-44 yo
2021-05-28 00:00:00.000000,KUALA LUMPUR,45,Small,F&B,9127.46,1,1,0,15649.41,2021-09-14 00:00:00.000000,Brokers,109.0,2021,45-54 yo
2023-04-04 00:00:00.000000,SEMPORNA,40,Small,Motor Vehicles Repair,4897.94,0,1,0,7230.03,2023-04-17 00:00:00.000000,Organic,13.0,2023,35-44 yo
2023-02-21 00:00:00.000000,BINTULU,38,Small,F&B,4955.78,1,1,0,9984.33,2023-03-17 00:00:00.000000,Brokers,24.0,2023,35-44 yo
2022-08-03 00:00:00.000000,PASIR MAS,41,Micro,Motor Vehicles Repair,1029.32,1,1,0,1877.93,2022-08-12 00:00:00.000000,Digital Marketing,9.0,2022,35-44 yo
2022-11-21 00:00:00.000000,MELAKA,44,Small,F&B,414.43,1,1,0,938.96,2022-11-29 00:00:00.000000,Platform Partners,8.0,2022,35-44 yo
2023-03-13 00:00:00.000000,KLANG,39,Small,F&B,39216.41,0,1,0,68857.42,2023-04-06 00:00:00.000000,Organic,24.0,2023,35-44 yo
2022-03-10 00:00:00.000000,KUALA LUMPUR,51,Micro,F&B,1971.25,0,1,0,2410.01,2023-03-20 00:00:00.000000,Digital Marketing,375.0,2022,45-54 yo
2021-09-13 00:00:00.000000,SEREMBAN,43,Small,Motor Vehicles Repair,9971.96,0,2,0,5477.295,2021-09-22 00:00:00.000000,Employee Referrals,9.0,2021,35-44 yo
2021-03-16 00:00:00.000000,KEPONG,34,Small,Motor Vehicles Repair,8566.28,0,1,0,10015.62,2022-10-17 00:00:00.000000,Others,580.0,2021,25-34 yo
2022-12-05 00:00:00.000000,RAWANG,31,Small,Storage,3854.37,0,1,0,4694.82,2022-12-19 00:00:00.000000,Digital Marketing,14.0,2022,25-34 yo
2022-05-17 00:00:00.000000,KOTA KINABALU,26,Small,Motor Vehicles Repair,2120.03,1,1,0,3129.88,2022-05-30 00:00:00.000000,Organic,13.0,2022,25-34 yo
2023-03-13 00:00:00.000000,AMPANG,36,Small,F&B,7100.04,0,1,0,13082.91,2023-04-03 00:00:00.000000,Brokers,21.0,2023,35-44 yo
2021-02-23 00:00:00.000000,KUALA LUMPUR,37,Small,Motor Vehicles Repair,2895.61,0,1,0,3129.88,2021-03-11 00:00:00.000000,Organic,16.0,2021,35-44 yo
2022-09-21 00:00:00.000000,SIBU,40,Medium,Motor Vehicles Repair,33653.36,1,2,0,32237.79,2022-10-03 00:00:00.000000,Brokers,12.0,2022,35-44 yo
2023-04-25 00:00:00.000000,Seremban,51,Small,Administrative and Support Service Activities,4406.68,0,1,0,9295.75,2023-05-12 00:00:00.000000,Brokers,17.0,2023,45-54 yo
2023-04-14 00:00:00.000000,LAHAD DATU,41,Micro,Storage,4073.43,0,1,0,6885.74,2023-05-30 00:00:00.000000,Brokers,46.0,2023,35-44 yo
2022-06-29 00:00:00.000000,CHERAS,29,Small,Administrative and Support Service Activities,730.93,0,1,0,938.96,2022-11-25 00:00:00.000000,Organic,149.0,2022,25-34 yo
2023-07-18 00:00:00.000000,PUCHONG,48,Small,Motor Vehicles Repair,2824.96,0,1,0,7402.17,2023-08-07 00:00:00.000000,Brokers,20.0,2023,45-54 yo
2022-09-22 00:00:00.000000,PETALING JAYA,37,Micro,Motor Vehicles Repair,1355.16,0,1,0,1658.84,2022-10-12 00:00:00.000000,Platform Partners,20.0,2022,35-44 yo
2023-07-22 00:00:00.000000,PUCHONG,42,Micro,Motor Vehicles Repair,1042.63,0,1,0,2203.44,2023-07-31 00:00:00.000000,Platform Partners,9.0,2023,35-44 yo
2021-09-16 00:00:00.000000,BUKIT MERTAJAM,27,Micro,Storage,3663.65,1,3,0,2232.65,2021-09-23 00:00:00.000000,Organic,7.0,2021,25-34 yo
2022-05-10 00:00:00.000000,SHAH ALAM,31,Small,Motor Vehicles Repair,15984.25,1,2,0,15649.41,2022-06-22 00:00:00.000000,Digital Marketing,43.0,2022,25-34 yo
2023-08-14 00:00:00.000000,BERANANG,37,Small,Motor Vehicles Repair,6239.07,0,0,4,26760.5,2023-09-18 00:00:00.000000,Others,35.0,2023,35-44 yo
2020-09-25 00:00:00.000000,KUANTAN,36,Small,Motor Vehicles Repair,10455.07,0,2,0,6870.094999999999,2020-10-14 00:00:00.000000,Organic,19.0,2020,35-44 yo
2023-10-18 00:00:00.000000,JOHOR BAHRU,52,Small,Storage,2163.87,0,1,0,6197.17,2023-10-31 00:00:00.000000,Others,13.0,2023,45-54 yo
2020-12-17 00:00:00.000000,KUALA LUMPUR,40,Medium,Motor Vehicles Repair,60363.59,1,4,0,24726.075,2020-12-21 00:00:00.000000,Digital Marketing,4.0,2020,35-44 yo
2022-12-20 00:00:00.000000,KUALA LUMPUR,32,Micro,Storage,5966.98,0,1,0,6259.77,2023-01-06 00:00:00.000000,Organic,17.0,2022,25-34 yo
2022-07-07 00:00:00.000000,PETALING JAYA,37,Small,F&B,13635.52,0,1,0,20031.25,2022-07-18 00:00:00.000000,Organic,11.0,2022,35-44 yo
2022-11-10 00:00:00.000000,PETALING JAYA,31,Small,Motor Vehicles Repair,10708.91,0,1,0,15649.41,2022-12-01 00:00:00.000000,Platform Partners,21.0,2022,25-34 yo
2022-06-21 00:00:00.000000,KUCHING,36,Small,Administrative and Support Service Activities,3085.57,0,1,0,3755.86,2022-07-27 00:00:00.000000,Digital Marketing,36.0,2022,35-44 yo
2021-04-02 00:00:00.000000,CHERAS,32,Small,Motor Vehicles Repair,5113.5,0,1,0,6259.77,2021-04-23 00:00:00.000000,Platform Partners,21.0,2021,25-34 yo
2023-02-23 00:00:00.000000,MELAKA,30,Small,Motor Vehicles Repair,6932.19,0,1,0,10328.61,2023-03-07 00:00:00.000000,Digital Marketing,12.0,2023,25-34 yo
2022-07-15 00:00:00.000000,KOTA SAMARAHAN,33,Small,Manufacturing,26565.6,0,1,0,26604.0,2022-07-25 00:00:00.000000,Digital Marketing,10.0,2022,25-34 yo
2019-08-13 00:00:00.000000,KUALA LUMPUR,42,Small,Other Service Activities,2907.2100000000005,0,3,0,1564.9399999999998,2020-08-10 00:00:00.000000,Organic,363.0,2019,35-44 yo
2023-02-17 00:00:00.000000,KUALA LUMPUR,38,Small,Administrative and Support Service Activities,15453.540000000005,0,0,10,25039.062,2023-04-12 00:00:00.000000,EDMs,54.0,2023,35-44 yo
2023-02-03 00:00:00.000000,PUCHONG,30,Micro,F&B,1205.69,0,1,0,1377.15,2023-02-23 00:00:00.000000,Digital Marketing,20.0,2023,25-34 yo
2020-03-06 00:00:00.000000,PETALING JAYA,40,Small,Information and Communication,10748.75,0,1,0,15649.41,2020-06-10 00:00:00.000000,Organic,96.0,2020,35-44 yo
2022-10-19 00:00:00.000000,KUALA LUMPUR,45,Small,F&B,16056.53,0,1,0,21909.18,2022-12-13 00:00:00.000000,Brokers,55.0,2022,45-54 yo
2021-04-21 00:00:00.000000,KUALA KANGSAR,40,Small,Motor Vehicles Repair,3072.16,0,1,0,6259.77,2021-04-30 00:00:00.000000,Employee Referrals,9.0,2021,35-44 yo
2020-08-08 00:00:00.000000,KUALA LUMPUR,47,Small,Motor Vehicles Repair,10997.8,0,2,0,6729.245,2022-06-22 00:00:00.000000,Digital Marketing,683.0,2020,45-54 yo
2022-07-20 00:00:00.000000,RANAU,54,Small,Motor Vehicles Repair,2356.24,1,1,0,3129.88,2022-07-29 00:00:00.000000,Employee Referrals,9.0,2022,45-54 yo
2023-05-29 00:00:00.000000,JOHOR BAHRU,34,Small,F&B,3971.0800000000004,0,0,6,10328.61,2023-07-11 00:00:00.000000,Digital Marketing,43.0,2023,25-34 yo
2020-09-10 00:00:00.000000,KAMUNTING,34,Small,Motor Vehicles Repair,8730.02,0,2,0,8763.67,2022-09-20 00:00:00.000000,Digital Marketing,740.0,2020,25-34 yo
2022-03-09 00:00:00.000000,GEMAS,29,Small,F&B,4286.11,0,1,0,3129.88,2022-04-25 00:00:00.000000,Platform Partners,47.0,2022,25-34 yo
2020-09-28 00:00:00.000000,CHERAS,45,Medium,Other Service Activities,14639.62,0,1,0,15649.41,2020-10-07 00:00:00.000000,Offline Marketing,9.0,2020,45-54 yo
2022-02-09 00:00:00.000000,KUALA LUMPUR,34,Small,"Arts, Entertainment and Recreation",1491.37,0,1,0,1564.94,2022-02-24 00:00:00.000000,Organic,15.0,2022,25-34 yo
2018-09-25 00:00:00.000000,BALAKONG,44,Small,Manufacturing,2149.71,0,1,0,3129.88,2019-03-22 00:00:00.000000,Offline Marketing,178.0,2018,35-44 yo
2022-07-21 00:00:00.000000,KLANG,33,Medium,Construction,37945.13,0,2,0,31298.83,2022-07-28 00:00:00.000000,Employee Referrals,7.0,2022,25-34 yo
2019-12-10 00:00:00.000000,ALOR SETAR,38,Micro,Other Service Activities,2989.22,0,1,0,2503.91,2020-01-13 00:00:00.000000,Digital Marketing,34.0,2019,35-44 yo
2022-08-02 00:00:00.000000,GEORGETOWN,40,Small,Other Service Activities,6266.16,0,1,0,5414.7,2022-08-09 00:00:00.000000,Digital Marketing,7.0,2022,35-44 yo
2022-07-27 00:00:00.000000,KUALA LUMPUR,36,Micro,F&B,2674.01,1,1,0,4037.55,2022-08-05 00:00:00.000000,EDMs,9.0,2022,35-44 yo
2021-11-18 00:00:00.000000,KAJANG,27,Small,Human Health and Social Work Activities,21723.45,2,2,0,10172.115,2021-11-29 00:00:00.000000,Platform Partners,11.0,2021,25-34 yo
2022-06-29 00:00:00.000000,SUBANG JAYA,34,Small,Professional Activities,12909.69,0,1,0,11048.49,2022-07-08 00:00:00.000000,Organic,9.0,2022,25-34 yo
2022-02-27 00:00:00.000000,JOHOR BAHRU,32,Small,F&B,975.61,0,1,0,1564.94,2023-01-19 00:00:00.000000,Digital Marketing,326.0,2022,25-34 yo
2023-08-10 00:00:00.000000,KUALA LUMPUR,30,Small,Professional Activities,1267.32,0,1,0,3442.87,2023-08-23 00:00:00.000000,Organic,13.0,2023,25-34 yo
2019-04-29 00:00:00.000000,KUALA LUMPUR,37,Small,Construction,6524.23,0,1,0,9389.65,2019-06-24 00:00:00.000000,Organic,56.0,2019,35-44 yo
2022-06-29 00:00:00.000000,BANTING,29,Micro,Motor Vehicles Repair,3664.2,0,2,0,3129.88,2022-07-12 00:00:00.000000,Organic,13.0,2022,25-34 yo
2022-11-08 00:00:00.000000,KLUANG,24,Small,Motor Vehicles Repair,49051.14,0,1,0,62597.66,2022-11-24 00:00:00.000000,Brokers,16.0,2022,18-24 yo
2022-03-11 00:00:00.000000,KINABATANGAN,31,Small,F&B,3332.23,0,1,0,4068.85,2022-03-24 00:00:00.000000,Platform Partners,13.0,2022,25-34 yo
2022-12-30 00:00:00.000000,SUNGAI PETANI,29,Small,Motor Vehicles Repair,8361.08,1,1,0,21909.18,2023-01-10 00:00:00.000000,Organic,11.0,2022,25-34 yo
2021-02-21 00:00:00.000000,KAJANG,37,Small,Motor Vehicles Repair,4930.33,1,1,0,9389.65,2022-09-01 00:00:00.000000,Organic,557.0,2021,35-44 yo
2022-11-30 00:00:00.000000,TANJUNG BUNGAH,34,Small,F&B,2169.61,0,2,0,2503.91,2022-12-08 00:00:00.000000,Digital Marketing,8.0,2022,25-34 yo
2022-12-20 00:00:00.000000,GOMBAK,28,Micro,Motor Vehicles Repair,1430.77,1,1,0,2503.91,2023-01-06 00:00:00.000000,Digital Marketing,17.0,2022,25-34 yo
2022-10-17 00:00:00.000000,TANGKAK,35,Small,Motor Vehicles Repair,13206.1,1,1,0,18779.3,2022-10-25 00:00:00.000000,Employee Referrals,8.0,2022,35-44 yo
2023-01-12 00:00:00.000000,PENDANG,25,Micro,Motor Vehicles Repair,4018.68,0,1,0,4788.72,2023-01-31 00:00:00.000000,Digital Marketing,19.0,2023,25-34 yo
2019-05-14 00:00:00.000000,HULU LANGAT,63,Small,Motor Vehicles Repair,4114.14,0,2,0,2973.385,2019-05-28 00:00:00.000000,Organic,14.0,2019,55-64 yo
2020-03-02 00:00:00.000000,SKUDAI,33,Small,Motor Vehicles Repair,8248.77,0,2,0,5007.8099999999995,2020-03-13 00:00:00.000000,Offline Marketing,11.0,2020,25-34 yo
2018-08-14 00:00:00.000000,SETAPAK,50,Medium,Administrative and Support Service Activities,27339.969999999987,0,2,21,7963.51304347826,2019-01-31 00:00:00.000000,Organic,170.0,2018,45-54 yo
2022-10-11 00:00:00.000000,JOHOR BAHRU,36,Small,Motor Vehicles Repair,12956.8,1,1,0,18779.3,2022-10-27 00:00:00.000000,Digital Marketing,16.0,2022,35-44 yo
2017-05-15 00:00:00.000000,BATU CAVES,41,Medium,Motor Vehicles Repair,51791.77,0,1,0,15649.41,2023-01-26 00:00:00.000000,Sales Force,2082.0,2017,35-44 yo
2023-04-07 00:00:00.000000,KUANTAN,31,Micro,Professional Activities,1194.68,0,1,0,2065.72,2023-05-15 00:00:00.000000,Organic,38.0,2023,25-34 yo
2022-12-12 00:00:00.000000,SUNGAI JAWI,32,Small,Human Health and Social Work Activities,4242.25,0,1,0,6885.74,2022-12-20 00:00:00.000000,Organic,8.0,2022,25-34 yo
2022-08-21 00:00:00.000000,SUNGAI PETANI,42,Small,F&B,3733.2,1,1,0,6134.57,2022-09-07 00:00:00.000000,Platform Partners,17.0,2022,35-44 yo
2022-05-31 00:00:00.000000,SERI KEMBANGAN,33,Medium,Administrative and Support Service Activities,40885.73,0,4,0,28951.4125,2022-07-04 00:00:00.000000,Employee Referrals,34.0,2022,25-34 yo
2021-08-20 00:00:00.000000,PUTATAN,44,Small,F&B,6192.58,3,1,0,9295.75,2023-02-15 00:00:00.000000,Organic,544.0,2021,35-44 yo
2022-12-09 00:00:00.000000,KLANG,48,Small,F&B,1522.45,0,1,0,1596.24,2022-12-30 00:00:00.000000,Digital Marketing,21.0,2022,45-54 yo
2022-06-13 00:00:00.000000,SHAH ALAM,20,Small,Motor Vehicles Repair,14473.76,0,1,0,15649.41,2022-06-20 00:00:00.000000,Digital Marketing,7.0,2022,18-24 yo
2023-01-14 00:00:00.000000,LAHAD DATU,41,Small,F&B,10271.28,1,1,0,15649.41,2023-01-26 00:00:00.000000,Digital Marketing,12.0,2023,35-44 yo
2020-12-11 00:00:00.000000,SUNGAI BULOH,60,Micro,Professional Activities,905.7,1,1,0,2034.42,2022-06-08 00:00:00.000000,Digital Marketing,544.0,2020,55-64 yo
2022-12-05 00:00:00.000000,PUTRAJAYA,40,Small,Motor Vehicles Repair,1508.61,0,1,0,2190.92,2022-12-20 00:00:00.000000,Digital Marketing,15.0,2022,35-44 yo
2023-03-22 00:00:00.000000,Kajang,50,Small,Motor Vehicles Repair,30957.82,0,2,0,40281.59,2023-04-06 00:00:00.000000,Brokers,15.0,2023,45-54 yo
2020-01-10 00:00:00.000000,KUCHING,35,Small,F&B,5857.78,0,2,0,3442.87,2020-01-20 00:00:00.000000,Digital Marketing,10.0,2020,35-44 yo
